attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00003024,1039
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00003024,2241
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00003024,1304
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00003024,1741
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00003024,110
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00003024,1205
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00003024,1223
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00003024,1230
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00003024,1222
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00003024,700
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00003024,1412
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00003024,1416
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00003024,1040
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00003024,953
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00003024,1136
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00003024,1459
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00003024,1018
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00003024,1451
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00003024,2237
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00003024,2300
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00003024,551
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00003024,109
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00003024,2017
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00003024,203
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00003024,1111
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00003024,1024
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00003024,1413
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00003024,22
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00003024,2357
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00003024,9
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00003024,122
